CZASY  OPERACJI W NANOSEKUNDACH
Wstawianie na koniec:
wielkosc struktury	[1,100]	[~INT_MAX/2]	[~INT_MAX]	[1,INT_MAX]
16		-434	132	119	124
32		173	183	184	175
64		259	685	362	250
128		548	368	532	1180
256		934	813	-90	863
512		1892	1712	1800	2070
1024		1126	3750	3730	3513
2048		4027	9681	7678	7354
4096		14359	15882	15982	20734
8192		44962	25974	28673	25828
16384		57848	52849	50918	52547
32768		115362	108312	102859	100500
65536		308838	265180	251628	215537
131072		418797	489470	422198	436223
262144		716689	736057	910022	959555
524288		1121672	1615783	1721839	1878039
1048576		2609238	3361680	3161265	1904244
2097152		5681475	6342318	7186313	7033833
4194304		16032659	14880406	14617248	15404773
8388608		33805509	31841788	29100326	31542594
16777216		59280950	60203859	59342609	59577726
33554432		118396248	120803108	121156525	109989961
67108864		242779525	239737028	240695756	246621948
134217728		450670316	511223573	-1115675566	365589170
Wstawianie na środek:
wielkosc struktury	[1,100]	[~INT_MAX/2]	[~INT_MAX]	[1,INT_MAX]
16		61	81	110	55
32		68	169	129	143
64		92	192	289	110
128		234	405	209	28
256		330	619	786	728
512		519	1419	2925	1232
1024		1254	3184	1900	4403
2048		630	6445	4875	7614
4096		9873	9339	17818	9374
8192		9198	26553	15769	31869
16384		49309	36197	53680	49070
32768		97493	71982	120212	40034
65536		96020	227257	159536	174839
131072		238564	254964	115142	171679
262144		529264	719823	388898	532889
524288		422885	809724	1087624	1146644
1048576		1704431	1776309	2642341	1374109
2097152		4817310	7823460	4737203	5466970
4194304		24593796	456962	4516854	14640968
8388608		47888147	26062965	30231776	23014738
16777216		39440137	36819592	31399156	37423322
33554432		63690925	91710515	78166142	34203621
67108864		162016720	402612465	369455953	33423645
134217728		54027728	229191173	364512798	328752452
Wstawianie na początek:
wielkosc struktury	[1,100]	[~INT_MAX/2]	[~INT_MAX]	[1,INT_MAX]
16		47	117	79	108
32		115	144	140	127
64		262	118	248	160
128		224	254	328	506
256		145	644	881	460
512		1379	485	1149	522
1024		1119	3260	1870	2068
2048		1098	4276	6936	2352
4096		4281	10690	-999	13617
8192		944	18788	6999	18192
16384		39802	7231	33222	44690
32768		54167	107284	37721	63617
65536		97383	145371	210909	121670
